api_key: str = os.getenv("ALPACA_API_KEY", "your_key_here")
secret_key: str = os.getenv("ALPACA_SECRET_KEY", "your_secret_here")2026-02-09 14:02:24 | ERROR    | Set ALPACA_API_KEY and ALPACA_SECRET_KEY
2026-02-09 14:06:04 | INFO     | ============================================================
2026-02-09 14:06:04 | INFO     | HFT Bot | 14:06:04 | symbols=['AAPL', 'MSFT', 'NVDA', 'AMD', 'TSLA', 'GOOG', 'AMZN', 'META', 'AVGO', 'CRM', 'ORCL', 'ADBE', 'INTC', 'QCOM', 'MU', 'ANET', 'JPM', 'GS', 'MS', 'BAC', 'V', 'MA', 'BLK', 'C', 'UNH', 'JNJ', 'LLY', 'PFE', 'ABBV', 'MRK', 'TMO', 'ABT', 'WMT', 'COST', 'HD', 'NKE', 'SBUX', 'MCD', 'KO', 'PEP', 'XOM', 'CVX', 'CAT', 'BA', 'GE', 'UPS', 'DE', 'LMT', 'NFLX', 'DIS', 'PYPL', 'SQ', 'COIN', 'RIVN', 'PLTR', 'SOFI'] | 5min bars
2026-02-09 14:06:04 | INFO     | ============================================================
2026-02-09 14:06:04 | INFO     | --- AAPL ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for AAPL: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MSFT ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MSFT: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- NVDA ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for NVDA: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- AMD ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for AMD: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- TSLA ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for TSLA: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- GOOG ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for GOOG: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- AMZN ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for AMZN: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- META ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for META: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- AVGO ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for AVGO: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- CRM ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for CRM: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- ORCL ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for ORCL: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- ADBE ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for ADBE: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- INTC ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for INTC: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- QCOM ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for QCOM: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MU ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MU: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- ANET ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for ANET: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- JPM ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for JPM: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- GS ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for GS: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MS ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MS: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- BAC ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for BAC: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- V ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for V: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MA ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MA: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- BLK ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for BLK: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- C ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for C: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- UNH ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for UNH: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- JNJ ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for JNJ: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- LLY ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for LLY: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- PFE ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for PFE: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- ABBV ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for ABBV: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MRK ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MRK: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- TMO ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for TMO: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- ABT ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for ABT: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- WMT ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for WMT: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- COST ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for COST: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- HD ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for HD: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- NKE ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for NKE: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- SBUX ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for SBUX: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- MCD ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for MCD: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- KO ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for KO: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- PEP ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for PEP: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- XOM ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for XOM: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- CVX ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for CVX: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- CAT ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for CAT: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- BA ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for BA: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- GE ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for GE: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- UPS ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for UPS: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- DE ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for DE: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- LMT ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for LMT: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- NFLX ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for NFLX: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- DIS ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for DIS: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- PYPL ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for PYPL: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- SQ ---
2026-02-09 14:06:04 | ERROR    | Failed to fetch data for SQ: 'str' object has no attribute 'value'
2026-02-09 14:06:04 | INFO     | --- COIN ---
